word,tag,category,subcategory,type
human,NOUN-ANIM,Noun,Animate,Animate
humans,NOUN-ANIM,Noun,Animate,Animate
cat,NOUN-ANIM,Noun,Animate,Animate
cats,NOUN-ANIM,Noun,Animate,Animate
dog,NOUN-ANIM,Noun,Animate,Animate
dogs,NOUN-ANIM,Noun,Animate,Animate
bird,NOUN-ANIM,Noun,Animate,Animate
birds,NOUN-ANIM,Noun,Animate,Animate
fish,NOUN-ANIM,Noun,Animate,Animate
fishes,NOUN-ANIM,Noun,Animate,Animate
lion,NOUN-ANIM,Noun,Animate,Animate
lions,NOUN-ANIM,Noun,Animate,Animate
tiger,NOUN-ANIM,Noun,Animate,Animate
tigers,NOUN-ANIM,Noun,Animate,Animate
bear,NOUN-ANIM,Noun,Animate,Animate
bears,NOUN-ANIM,Noun,Animate,Animate
wolf,NOUN-ANIM,Noun,Animate,Animate
wolfs,NOUN-ANIM,Noun,Animate,Animate
fox,NOUN-ANIM,Noun,Animate,Animate
foxes,NOUN-ANIM,Noun,Animate,Animate
rabbit,NOUN-ANIM,Noun,Animate,Animate
rabbits,NOUN-ANIM,Noun,Animate,Animate
cow,NOUN-ANIM,Noun,Animate,Animate
cows,NOUN-ANIM,Noun,Animate,Animate
sheep,NOUN-ANIM,Noun,Animate,Animate
sheeps,NOUN-ANIM,Noun,Animate,Animate
horse,NOUN-ANIM,Noun,Animate,Animate
horses,NOUN-ANIM,Noun,Animate,Animate
donkey,NOUN-ANIM,Noun,Animate,Animate
donkeys,NOUN-ANIM,Noun,Animate,Animate
ant,NOUN-ANIM,Noun,Animate,Animate
ants,NOUN-ANIM,Noun,Animate,Animate
bee,NOUN-ANIM,Noun,Animate,Animate
bees,NOUN-ANIM,Noun,Animate,Animate
fly,NOUN-ANIM,Noun,Animate,Animate
flies,NOUN-ANIM,Noun,Animate,Animate
butterfly,NOUN-ANIM,Noun,Animate,Animate
butterflies,NOUN-ANIM,Noun,Animate,Animate
snake,NOUN-ANIM,Noun,Animate,Animate
snakes,NOUN-ANIM,Noun,Animate,Animate
frog,NOUN-ANIM,Noun,Animate,Animate
frogs,NOUN-ANIM,Noun,Animate,Animate
turtle,NOUN-ANIM,Noun,Animate,Animate
turtles,NOUN-ANIM,Noun,Animate,Animate
penguin,NOUN-ANIM,Noun,Animate,Animate
penguins,NOUN-ANIM,Noun,Animate,Animate
giraffe,NOUN-ANIM,Noun,Animate,Animate
giraffes,NOUN-ANIM,Noun,Animate,Animate
elephant,NOUN-ANIM,Noun,Animate,Animate
elephants,NOUN-ANIM,Noun,Animate,Animate
monkey,NOUN-ANIM,Noun,Animate,Animate
monkeys,NOUN-ANIM,Noun,Animate,Animate
eagle,NOUN-ANIM,Noun,Animate,Animate
eagles,NOUN-ANIM,Noun,Animate,Animate
owl,NOUN-ANIM,Noun,Animate,Animate
owls,NOUN-ANIM,Noun,Animate,Animate
sparrow,NOUN-ANIM,Noun,Animate,Animate
sparrows,NOUN-ANIM,Noun,Animate,Animate
pigeon,NOUN-ANIM,Noun,Animate,Animate
pigeons,NOUN-ANIM,Noun,Animate,Animate
table,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
tables,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
chair,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
chairs,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
book,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
books,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
pen,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
pens,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
computer,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
computers,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
phone,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
phones,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
car,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
cars,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
door,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
doors,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
window,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
windows,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
glasses,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
glasseses,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
watch,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
watches,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
glass,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
glasses,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
plate,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
plates,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
fork,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
forks,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
spoon,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
spoons,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
knife,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
knifes,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
shoe,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
shoes,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
bag,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
bags,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
jacket,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
jackets,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
shirt,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
shirts,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
pants,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
pantses,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
hat,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
hats,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
key,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
keys,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
lamp,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
lamps,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
television,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
televisions,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
radio,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
radios,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
camera,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
cameras,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
headphone,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
headphones,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
pillow,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
pillows,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
blanket,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
blankets,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
curtain,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
curtains,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
carpet,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
carpets,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
mirror,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
mirrors,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
comb,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
combs,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
brush,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
brushes,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
soap,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
soaps,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
towel,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
towels,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
toothbrush,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
toothbrushes,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
umbrella,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
umbrellas,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
wallet,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
wallets,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
meeting,NOUN-INANIM-EVT,Noun,Inanimate,Event
meetings,NOUN-INANIM-EVT,Noun,Inanimate,Event
wedding,NOUN-INANIM-EVT,Noun,Inanimate,Event
weddings,NOUN-INANIM-EVT,Noun,Inanimate,Event
concert,NOUN-INANIM-EVT,Noun,Inanimate,Event
concerts,NOUN-INANIM-EVT,Noun,Inanimate,Event
match,NOUN-INANIM-EVT,Noun,Inanimate,Event
matches,NOUN-INANIM-EVT,Noun,Inanimate,Event
