word,tag,category,subcategory,type
kedim,NOUN-ANIM,Noun,Animate,Animate
kedin,NOUN-ANIM,Noun,Animate,Animate
kedisi,NOUN-ANIM,Noun,Animate,Animate
kedimiz,NOUN-ANIM,Noun,Animate,Animate
kediniz,NOUN-ANIM,Noun,Animate,Animate
kedisi,NOUN-ANIM,Noun,Animate,Animate
bıçağım,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
bıçağın,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
bıçağı,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
bıçağımız,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
bıçağınız,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
bıçağları,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
kartalım,NOUN-ANIM,Noun,Animate,Animate
kartalın,NOUN-ANIM,Noun,Animate,Animate
kartalı,NOUN-ANIM,Noun,Animate,Animate
kartalımız,NOUN-ANIM,Noun,Animate,Animate
kartalınız,NOUN-ANIM,Noun,Animate,Animate
kartalları,NOUN-ANIM,Noun,Animate,Animate
aynam,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
aynan,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
aynası,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
aynamız,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
aynanız,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
aynası,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
anahtarım,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
anahtarın,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
anahtarı,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
anahtarımız,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
anahtarınız,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
anahtarları,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
telefonum,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
telefonun,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
telefonu,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
telefonumuz,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
telefonunuz,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
telefonları,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
toplantım,NOUN-INANIM-EVT,Noun,Inanimate,Event
toplantın,NOUN-INANIM-EVT,Noun,Inanimate,Event
toplantısı,NOUN-INANIM-EVT,Noun,Inanimate,Event
toplantımız,NOUN-INANIM-EVT,Noun,Inanimate,Event
toplantınız,NOUN-INANIM-EVT,Noun,Inanimate,Event
